load,snr,miss_mean,miss_std,savings_mean,switches_mean,urllc,deploy
0.7,15,2.5340052131286877,0.9190121705104688,72.908,8.580000000000002,False,True
0.7,18,1.782368011983516,0.4599518372946777,80.428,9.02,False,True
0.7,20,1.1188215950984985,0.44591841164428164,84.97399999999999,9.18,False,True
0.7,22,0.6749828396425215,0.3700124045338748,89.77000000000001,8.3,True,True
0.7,25,0.271853357040699,0.1239949830269263,91.99000000000001,8.780000000000001,True,True
0.75,15,2.5340052131286877,0.9190121705104688,72.908,8.580000000000002,False,True
0.75,18,1.782368011983516,0.4599518372946777,80.428,9.02,False,True
0.75,20,1.1188215950984985,0.44591841164428164,84.97399999999999,9.18,False,True
0.75,22,0.6749828396425215,0.3700124045338748,89.77000000000001,8.3,True,True
0.75,25,0.271853357040699,0.1239949830269263,91.99000000000001,8.780000000000001,True,True
0.8,15,2.5340052131286877,0.9190121705104688,72.908,8.580000000000002,False,True
0.8,18,1.782368011983516,0.4599518372946777,80.428,9.02,False,True
0.8,20,1.1188215950984985,0.44591841164428164,84.97399999999999,9.18,False,True
0.8,22,0.6749828396425215,0.3700124045338748,89.77000000000001,8.3,True,True
0.8,25,0.271853357040699,0.1239949830269263,91.99000000000001,8.780000000000001,True,True
0.85,15,2.5340052131286877,0.9190121705104688,72.908,8.580000000000002,False,True
0.85,18,1.782368011983516,0.4599518372946777,80.428,9.02,False,True
0.85,20,1.1188215950984985,0.44591841164428164,84.97399999999999,9.18,False,True
0.85,22,0.6749828396425215,0.3700124045338748,89.77000000000001,8.3,True,True
0.85,25,0.271853357040699,0.1239949830269263,91.99000000000001,8.780000000000001,True,True
0.9,15,2.5340052131286877,0.9190121705104688,72.908,8.580000000000002,False,True
0.9,18,1.782368011983516,0.4599518372946777,80.428,9.02,False,True
0.9,20,1.1188215950984985,0.44591841164428164,84.97399999999999,9.18,False,True
0.9,22,0.6749828396425215,0.3700124045338748,89.77000000000001,8.3,True,True
0.9,25,0.271853357040699,0.1239949830269263,91.99000000000001,8.780000000000001,True,True
