load,miss_mean,miss_std,miss_ci_lo,miss_ci_hi,savings_mean,savings_std,savings_ci_lo,savings_ci_hi,switches_mean,switches_std,switches_ci_lo,switches_ci_hi,urllc_compliant,deployable
0.5,0.0,0.0,0.0,0.0,97.69300000000001,0.21723489590763576,97.274875,98.00062500000001,12.76,1.2003749414245537,11.0525,15.110000000000001,True,True
0.55,0.0,0.0,0.0,0.0,96.39250000000001,0.3688377014351977,95.70925000000001,96.780375,18.44,1.7952437160452612,16.5175,21.7675,True,True
0.6,0.0,0.0,0.0,0.0,94.9645,0.3603224250584456,94.55912500000001,95.712,24.35,1.5893394854467058,21.1575,26.46,True,True
0.65,0.0,0.0,0.0,0.0,93.5015,0.18993485725374432,93.22025,93.82475,29.6,0.7826237921249268,28.494999999999997,30.915,True,True
0.7,0.0,0.0,0.0,0.0,91.7105,0.37017867307558155,91.144125,92.337875,34.62,1.783283488399979,32.03,37.3925,True,True
0.75,0.0,0.0,0.0,0.0,89.9975,0.4748381303139016,89.24974999999999,90.65275,38.94,1.7399425277864777,36.47875,41.735,True,True
0.8,0.003629808885339198,0.004719618598605162,0.0,0.013329637566452154,88.155,0.5631207685745582,87.024125,88.82037500000001,43.43,1.6389325794553,41.71875,46.995000000000005,True,True
0.85,0.007522109993468383,0.006755907471057791,0.0,0.018340804710516027,86.2745,0.5561944354270394,85.468875,87.094875,47.225,1.9508011174899405,43.82,50.4875,True,True
0.9,0.03768460318027521,0.015198883420199236,0.01454139879412186,0.05842748566015004,84.261,0.8694791544367263,83.026625,85.70200000000001,50.655,2.4468806672986734,46.89,54.855000000000004,True,False
0.95,0.13513783710164656,0.03772572141996897,0.08421480385368438,0.21114357257014213,82.74549999999999,0.7297103877566753,81.44000000000001,83.643125,52.44500000000001,1.6754775438662255,50.12,54.69375,True,False
