seed,max_queue,mean_queue,queue_variance,stable
0,52,3.31294,34.964888556400005,True
1,43,3.18824,33.471125702399995,True
2,46,3.3368,35.63440576,True
3,49,3.40844,36.6816167664,True
4,42,3.43318,37.0020150876,True
5,44,3.32468,34.042662897599996,True
6,61,3.20054,34.4336437084,True
7,41,3.24558,33.4364304636,True
8,45,3.2029,33.64829158999999,True
9,51,3.31488,35.31717058560001,True
10,48,3.2657,35.033463510000004,True
11,46,3.29626,34.33265001240001,True
12,59,3.3785,38.06859775,True
13,43,3.22674,33.57132897240001,True
14,50,3.3312,35.92674656,True
15,48,3.18304,32.80433635839999,True
16,50,3.15748,34.55680004959999,True
17,48,3.17234,33.3307189244,True
18,51,3.4576,37.03396224,True
19,55,3.31084,35.7714984944,True
